Date,Day,ADR Model,ADR Box Color,ADR Confirmation,ADR True,ADR Result,ADR Max Ext,ADR Max Ret,ODR Model,ODR Box Color,ODR Confirmation,ODR True,ODR Result,ODR Max Ext,ODR Max Ret,RDR Model,RDR Box Color,RDR Confirmation,RDR True,RDR Result,RDR Max Extension,RDR Max Ret,Error Checking Notes
7-Jan-08,Monday,DXP,Green,Long,TRUE,Complete,0.2,-0.8,U,Red,Long,TRUE,Complete,0.6,-0.3,D,Red,Short,FALSE,Broken,0.2,-1.3,
9-Jan-08,Wednesday,DXP,Green,Long,TRUE,Complete,6,-1,UXP,Red,Short,TRUE,Broken,1.1,-0.9,D,Green,Short,FALSE,Broken,1,-2.1,
6-Feb-08,Wednesday,DXP,Red,Short,TRUE,Complete,0.6,-0.4,U,Green,Long,TRUE,Complete,0.3,-0.5,D,Red,Long,FALSE,Broken,0.8,-2.5,
25-Feb-08,Monday,UXP,Green,Short,TRUE,Complete,0.4,-1.3,DX,Green,Long,FALSE,Broken,0.5,-1.9,D,Green,Long,TRUE,Broken,1.5,-0.8,
26-Feb-08,Tuesday,UXP,Green,Long,FALSE,Complete,0.8,-2.6,DXP,Green,Long,TRUE,Broken,1.3,-0.5,D,Green,Long,TRUE,Broken,5,0,
7-Apr-08,Monday,UXP,Green,Long,TRUE,Complete,3.4,-0.3,UXP,Green,Long,TRUE,Complete,0.3,-0.3,D,Red,Short,FALSE,Broken,1.3,-2.4,
22-Apr-08,Tuesday,RC,Red,Short,TRUE,Complete,0.5,-0.8,RX,Green,Long,TRUE,Complete,1.8,-0.6,D,Red,Short,TRUE,Complete,1.5,-0.1,
28-Apr-08,Monday,UX,Neutral,Long,TRUE,Complete,1.1,-1.6,UXP,Green,Long,TRUE,Complete,0.8,-0.4,D,Red,Long,TRUE,Broken,0.6,-1.5,
9-May-08,Friday,DXP,Red,Short,TRUE,Complete,0.3,-0.4,DX,Red,Short,TRUE,Complete,0.6,-0.1,D,Green,Long,TRUE,Broken,1.1,-1.1,
21-May-08,Wednesday,DXP,Red,Long,TRUE,Broken,1,-1,UXP,Red,Long,FALSE,Broken,0.5,-3.6,D,Red,Short,TRUE,Complete,4.8,-0.4,
27-Jun-08,Friday,DXP,Red,Long,TRUE,Complete,1.8,0,U,Red,Short,TRUE,Broken,0.8,-0.5,D,Green,Short,TRUE,Complete,0.8,-0.5,
14-Jul-08,Monday,UXP,Green,Long,TRUE,Complete,0.8,-1.2,U,Red,Short,FALSE,Broken,1.2,-3,D,Red,Short,TRUE,Complete,1.1,0.1,
24-Jul-08,Thursday,RC,Red,Short,FALSE,Complete,0.4,-1.6,RX,Red,Short,TRUE,Complete,1.2,-0.2,D,Red,Short,TRUE,Complete,1.7,0.2,
10-Sep-08,Wednesday,DXP,Red,Long,TRUE,Complete,4.7,0.2,UXP,Red,Short,TRUE,Broken,3.3,0.2,D,Red,Short,FALSE,Broken,0.9,-2,
