Date,Day,ADR Model,ADR Box Color,ADR Confirmation,ADR True,ADR Result,ADR Max Ext,ADR Max Ret,ODR Model,ODR Box Color,ODR Confirmation,ODR True,ODR Result,ODR Max Ext,ODR Max Ret,RDR Model,RDR Box Color,RDR Confirmation,RDR True,RDR Result,RDR Max Extension,RDR Max Ret,Error Checking Notes,,,,,
2-Jan-08,Wednesday,RC,Green,Short,TRUE,Complete,0.4,-0.7,DX,Green,Long,TRUE,Broken,17,-0.2,UXP,Red,Long,TRUE,Complete,4,0.2,,,,,,
3-Jan-08,Thursday,UXP,Green,Short,FALSE,Complete,0.2,-2.1,RX,Green,Long,TRUE,Complete,0.2,-0.8,RC,Red,Short,FALSE,Complete,1.5,-2.1,,,,,,
4-Jan-08,Friday,RC,Green,Long,TRUE,Complete,1.7,-0.6,RX,Red,Short,TRUE,Complete,2.3,-0.6,DXP,Red,Short,TRUE,Complete,0.2,-0.9,,,,,,
8-Jan-08,Tuesday,DXP,Red,Long,TRUE,Complete,0.8,-0.7,UXP,Green,Short,FALSE,Broken,1.1,-3.2,UXP,Red,Short,FALSE,Complete,0.6,-1.7,,,,,,
9-Jan-08,Wednesday,DX,Red,Long,TRUE,Broken,1.3,-1.1,UX,Red,Long,FALSE,Broken,1.6,-2.2,DXP,Red,Long,FALSE,Broken,4.4,-1.6,,,,,,
10-Jan-08,Thursday,DX,Green,Long,FALSE,Broken,1,-1.4,RX,Green,Long,FALSE,Complete,0.3,-3.4,DXP,Green,Short,FALSE,Complete,0.7,-2.3,,,,,,
11-Jan-08,Friday,UXP,Green,Long,TRUE,Complete,3.8,-0.8,U,Green,Short,TRUE,Broken,4.5,-0.6,DXP,Red,Long,FALSE,Complete,1.2,-1.9,,,,,,
14-Jan-08,Monday,DXP,Red,Short,FALSE,Broken,0.4,-14.9,UXP,Green,Short,FALSE,Complete,2,-4.6,UXP,Red,Long,TRUE,Broken,0.4,-0.9,,,,,,
15-Jan-08,Tuesday,UXP,Red,Short,TRUE,Complete,1.5,-1.1,DXP,Red,Long,TRUE,Broken,0.9,-1.3,DXP,Red,Short,TRUE,Complete,0.6,-1,,,,,,
16-Jan-08,Wednesday,RC,Green,Short,TRUE,Complete,1.3,-0.3,DXP,Red,Short,TRUE,Complete,1.4,-0.8,RX,Red,Short,TRUE,Complete,2.1,-0.8,,,,,,
17-Jan-08,Thursday,RC,Red,Short,TRUE,Complete,1.5,-0.8,UXP,Red,Short,FALSE,Broken,1.3,-2.5,RX,Red,Short,TRUE,Complete,0.7,0,,,,,,
18-Jan-08,Friday,DXP,Red,Short,FALSE,Complete,0.4,-5.1,UXP,Green,Long,FALSE,Complete,2.6,-2.8,UXP,Green,Short,TRUE,Broken,1.9,-0.2,,,,,,
22-Jan-08,Tuesday,DXP,Green,Long,FALSE,Complete,1,-2.1,DXP,Green,Long,TRUE,Broken,2.2,-0.3,UXP,Green,Long,TRUE,Complete,1.4,-0.1,,,,,,
23-Jan-08,Wednesday,UXP,Green,Short,TRUE,Complete,1.1,0.3,D,Green,Short,TRUE,Complete,2.8,0.1,DXP,Green,Short,TRUE,Complete,1.4,-0.4,,,,,,
24-Jan-08,Thursday,RC,Red,Short,TRUE,Complete,0.6,-0.7,RX,Green,Short,FALSE,Complete,0.5,-2.8,RC,Red,Short,FALSE,Complete,2.3,-7.2,,,,,,
25-Jan-08,Friday,UXP,Green,Long,TRUE,Complete,2.1,-0.8,UXP,Green,Long,TRUE,Complete,0.5,0,UXP,Green,Short,TRUE,Broken,2.4,-1.1,,,,,,
28-Jan-08,Monday,DXP,Red,Short,TRUE,Complete,1.9,-0.2,DXP,Red,Short,TRUE,Complete,1.5,-0.9,DXP,Red,Long,TRUE,Broken,2.4,0,,,,,,
29-Jan-08,Tuesday,UXP,Red,Long,FALSE,Complete,2.7,-4.9,DX,Red,Long,TRUE,Broken,2.9,-0.1,DX,Green,Long,TRUE,Broken,2.6,-0.7,,,,,,
30-Jan-08,Wednesday,UXP,Green,Short,TRUE,Complete,0.5,-0.4,DX,Red,Long,TRUE,Broken,0.8,-0.7,U,Red,Short,FALSE,Broken,3,-1.7,,,,,,
31-Jan-08,Thursday,DXP,Red,Neutral,Neutral,Complete,,,UX,Green,Short,TRUE,Complete,0.1,-1.3,DXP,Red,Long,TRUE,Broken,2.5,-0.2,,,,,,
